URL,Group,Page type,Timeframe,Funnel
https://www.wearethemighty.com/articles/from-the-usmc-to-the-texas-rangers-hank-whitman-continues-to-thrive/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/featured/exclusive-interview-with-project-blue-book-hidden-mysteries-writer-and-best-selling-author-steven-elliot-altman/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/featured/how-deadwoods-jim-beaver-embodies-his-marine-corps-values-in-all-he-does/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/featured/this-national-museum-is-dedicated-to-the-buffalo-soldiers/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/memorial-day-its-not-just-for-service-members-lost-in-combat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/ron-rosser-moh-recipient/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/national-pow-mia-day/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/this-medal-of-honor-citation-reads-like-an-action-movie-plot/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/the-kgbs-alpha-group-left-terrorists-in-fear-of-the-soviet-union/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/a-medal-of-honor-recipient-tore-his-way-through-vietnam-while-being-stalked-by-a-tiger/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/this-is-why-intelligence-agencies-issue-a-burn-notice-to-bad-agents/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/this-star-spangled-banner-is-the-most-incredible-merica-thing-youll-ever-hear-or-see/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/why-the-glock-is-the-sidearm-of-choice-in-special-operations/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/this-is-why-you-would-want-jay-gatsby-as-your-commanding-officer/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/why-russia-has-three-nuclear-footballs-and-who-can-use-them/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/an-army-veteran-didnt-know-his-epic-beer-run-was-world-war-ii-legend-for-65-years/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/paratroopers-carry-reserve-chutes-and-sometimes-flotation-devices/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/an-air-force-pilot-used-a-commercial-gps-system-during-the-iraq-war/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/exclusive-interview-with-national-wwi-museum-and-memorial-senior-curator-doran-cart/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/the-fascinating-history-of-the-crime-ridden-kowloon-walled-city/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/a-british-officer-could-have-been-executed-for-his-affair-with-princess-diana/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/the-best-prequel-star-wars-vehicle-for-each-branch-of-the-military/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/these-5-locks-are-not-as-secure-as-you-think/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-trending/6-ways-veterans-can-troll-identity-thieves-when-targeted/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/real-capabilities-science-should-develop-for-combat-mech-suits/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/everything-you-need-to-know-about-the-civil-reserve-air-fleet/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/featured/tophat-was-the-usas-highest-ranking-mole-inside-soviet-intelligence/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/why-the-australian-rappel-is-as-cool-as-it-looks/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/the-coolest-fictional-military-ranks-we-wish-we-could-hold/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/the-history-of-the-iconic-american-cowboy-hat/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-stories/mark-harper-911/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/mighty-stories/my-9-11-story-i-watched-from-the-sidelines-as-the-world-changed-forever/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/authentic-samurai-sword/,Non-Membership,News,Non-Evergreen,
https://www.wearethemighty.com/articles/how-america-welcomed-home-medal-of-honor-recipient-chaplain-emil-kapaun/,Non-Membership,News,Non-Evergreen,
