URL,1. Group,2. Page Type,3. Timeframe,4. Funnel
https://www.wearethemighty.com/mighty-history/fightin-irish-kept-the-peace/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-sports/us-mens-national-soccer-team-troops-qatar/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/patriot-awards-2022/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/french-queen-crusade/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tech/nasa-explore-seas-on-saturns-moon-titan/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/nasa-apollo-10-crew/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/largest-air-transport-plane-world-war-ii/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/why-the-afghan-government-crumbled/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/iran-might-be-planning-an-attack-on-saudi-arabia/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-moments/bob-uecker-american-legions-good-guy/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-brave/navy-historic-interdiction/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/best-options-for-a-home-defense-shotgun/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/best-deer-hunting-ammo/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/drunken-soldiers/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/combat-bras/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/best-lever-action-rifles/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-branded/veteran-made-furniture-fighting-climate-change/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/featured/pact-act-va-press-secretary/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/boeing-747-hump/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/retrograde-afghanistan/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/foods-of-world-war-i/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/russian-weapons-captured-or-destroyed-by-ukraine/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/foreign-investment-markets-civil-war/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-culture/national-k9-veterans-day/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/minnesota-regiment-union-army-gettysburg/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/airman-pow-survive-captivity-in-world-war-ii-and-vietnam/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/soldier-stealing-identity/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/stalingrad-nfantry-assault-badges/,Non-Membership,Feature,Non-Evergreen,
